,CODUSU,NRO_HOGAR,IDECIFR_x,IDECIFR_y,GDECIFR_x,GDECIFR_y,PDECIFR_x,PDECIFR_y,IDECCFR_x,IDECCFR_y,GDECCFR_x,GDECCFR_y,PDECCFR_x,PDECCFR_y
37097,TQRMNOSWVHLMLTCDEIJAH00802368,1,,,8.0,8.0,,,,,7.0,7.0,,
37098,TQRMNOSSRHKOKMCDEGOIH00778191,1,2.0,2.0,,,2.0,2.0,1.0,1.0,,,1.0,1.0
37099,TQRMNOSSRHKOKMCDEGOIH00778191,1,2.0,2.0,,,2.0,2.0,1.0,1.0,,,1.0,1.0
37100,TQRMNOSSRHKOKMCDEGOIH00778191,1,2.0,2.0,,,2.0,2.0,1.0,1.0,,,1.0,1.0
37101,TQRMNOSSRHKOKMCDEGOIH00778191,1,2.0,2.0,,,2.0,2.0,1.0,1.0,,,1.0,1.0
37102,TQRMNOSSRHKOKMCDEGOIH00778191,1,2.0,2.0,,,2.0,2.0,1.0,1.0,,,1.0,1.0
37103,TQRMNOSSRHKOKMCDEGOIH00778191,1,2.0,2.0,,,2.0,2.0,1.0,1.0,,,1.0,1.0
37104,TQRMNOPYPHLOKNCDEGOIH00716734,1,8.0,8.0,,,8.0,8.0,5.0,5.0,,,5.0,5.0
37105,TQRMNOPYPHLOKNCDEGOIH00716734,1,8.0,8.0,,,8.0,8.0,5.0,5.0,,,5.0,5.0
37106,TQRMNOPYPHLOKNCDEGOIH00716734,1,8.0,8.0,,,8.0,8.0,5.0,5.0,,,5.0,5.0
37107,TQRMNOPYPHLOKNCDEGOIH00716734,1,8.0,8.0,,,8.0,8.0,5.0,5.0,,,5.0,5.0
37108,TQRMNORPPHKMKOCDEGOIH00783900,1,5.0,5.0,,,5.0,5.0,3.0,3.0,,,3.0,3.0
37109,TQRMNORPPHKMKOCDEGOIH00783900,1,5.0,5.0,,,5.0,5.0,3.0,3.0,,,3.0,3.0
37110,TQRMNORPPHKMKOCDEGOIH00783900,1,5.0,5.0,,,5.0,5.0,3.0,3.0,,,3.0,3.0
37111,TQRMNORPPHKMKOCDEGOIH00783900,1,5.0,5.0,,,5.0,5.0,3.0,3.0,,,3.0,3.0
37112,TQRMNORQSHKMKMCDEGOIH00778139,1,7.0,7.0,,,7.0,7.0,6.0,6.0,,,6.0,6.0
37113,TQRMNORQSHKMKMCDEGOIH00778139,1,7.0,7.0,,,7.0,7.0,6.0,6.0,,,6.0,6.0
37114,TQRMNORQSHKMKMCDEGOIH00778139,1,7.0,7.0,,,7.0,7.0,6.0,6.0,,,6.0,6.0
37115,TQRMNOQXWHKKKNCDEIHJF00779733,1,5.0,5.0,,,5.0,5.0,6.0,6.0,,,7.0,7.0
37116,TQRMNOQXWHKKKNCDEIHJF00779733,1,5.0,5.0,,,5.0,5.0,6.0,6.0,,,7.0,7.0
37117,TQRMNOQSTHJMKNCDEIHJF00793533,1,7.0,7.0,,,7.0,7.0,3.0,3.0,,,4.0,4.0
37118,TQRMNOQSTHJMKNCDEIHJF00793533,1,7.0,7.0,,,7.0,7.0,3.0,3.0,,,4.0,4.0
